"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","above",5,3.4,1,1,4,2,"Preposition"
"2","across",6,3.68,0,0,5,2,"Preposition"
"3","actor",5,3.13,0,3,4,2,"Noun"
"4","address",7,3.43,0,0,5,2,"Noun"
"5","admit",5,3.48,0,0,5,2,"Verb"
"6","affair",6,3.18,0,3,4,2,"Noun"
"7","afford",6,3.36,0,4,5,2,"Verb"
"8","afraid",6,4.1,0,0,5,2,"Adjective"
"9","age",3,3.61,10,13,2,1,"Noun"
"10","agent",5,3.72,0,1,5,2,"Noun"
"11","agree",5,3.52,0,0,4,2,"Verb"
"12","agreed",6,3.26,1,2,5,2,"Verb"
"13","ahead",5,4,0,1,4,2,"Adverb"
"14","air",3,3.85,5,12,2,1,"Noun"
"15","alarm",5,3.18,0,0,5,2,"Noun"
"16","all",3,5.42,5,18,2,1,"Determiner"
"17","allowed",7,3.36,1,4,4,2,"Verb"
"18","ally",4,3.22,1,8,3,2,"Noun"
"19","alright",7,3.61,0,0,5,2,"Adverb"
"20","among",5,3.24,1,1,4,2,"Preposition"
"21","amount",6,3.1,0,1,5,2,"Noun"
"22","angel",5,3.6,1,0,5,2,"Noun"
"23","answer",6,3.95,0,0,4,2,"Verb"
"24","answers",7,3.18,0,1,5,2,"Noun"
"25","any",3,4.75,4,7,3,2,"Determiner"
"26","appear",6,3.08,1,1,4,2,"Verb"
"27","appears",7,3.03,1,1,5,2,"Verb"
"28","apple",5,3.08,2,4,3,2,"Noun"
"29","are",3,5.42,16,14,2,1,"Verb"
"30","area",4,3.58,3,3,4,2,"Noun"
"31","argue",5,3,0,0,5,2,"Verb"
"32","arm",3,3.52,5,4,3,1,"Noun"
"33","armed",5,3.07,1,4,4,1,"Adjective"
"34","arms",4,3.48,6,3,4,1,"Noun"
"35","around",6,4.57,2,6,5,2,"Adverb"
"36","arrest",6,3.48,0,4,5,2,"Noun"
"37","aside",5,3.08,2,3,4,2,"Adverb"
"38","asked",5,4.04,1,2,4,1,"Verb"
"39","asleep",6,3.41,0,0,5,2,"Adjective"
"40","asshole",7,3.5,0,0,5,2,"Noun"
"41","assure",6,3.01,1,4,4,2,"Verb"
"42","ate",3,3.24,9,17,2,1,"Verb"
"43","attacked",8,3.09,2,4,5,2,"Verb"
"44","aunt",4,3.45,4,9,3,1,"Noun"
"45","avoid",5,3.09,0,2,4,2,"Verb"
"46","awesome",7,3.2,0,1,3,2,"Adjective"
"47","babe",4,3.26,8,15,3,1,"Noun"
"48","babies",6,3.23,1,1,5,2,"Noun"
"49","baby",4,4.41,1,4,4,2,"Noun"
"50","back",4,5.01,17,34,3,1,"Adverb"
"51","bad",3,4.44,19,28,3,1,"Adjective"
"52","badly",5,3.13,2,2,5,2,"Adverb"
"53","bags",4,3.16,12,11,4,1,"Noun"
"54","ball",4,3.73,19,30,3,1,"Noun"
"55","balls",5,3.31,10,21,4,1,"Noun"
"56","band",4,3.44,14,17,4,1,"Noun"
"57","bank",4,3.64,16,13,4,1,"Noun"
"58","bar",3,3.64,15,26,3,1,"Noun"
"59","base",4,3.26,14,21,3,1,"Noun"
"60","based",5,3.13,6,23,4,1,"Verb"
"61","bat",3,3.02,19,37,3,1,"Noun"
"62","bath",4,3.2,11,20,3,1,"Noun"
"63","battle",6,3.33,4,13,4,2,"Noun"
"64","bay",3,3.09,19,29,2,1,"Noun"
"65","beach",5,3.46,7,21,3,1,"Noun"
"66","bear",4,3.47,19,34,3,1,"Noun"
"67","beast",5,3.1,6,15,4,1,"Noun"
"68","beauty",6,3.39,0,1,5,2,"Noun"
"69","became",6,3.39,1,1,5,2,"Verb"
"70","become",6,3.77,1,2,5,2,"Verb"
"71","beef",4,3,6,19,3,1,"Noun"
"72","beer",4,3.59,12,40,3,1,"Noun"
"73","began",5,3.22,3,3,5,2,"Verb"
"74","believe",7,4.5,1,2,5,2,"Verb"
"75","bell",4,3.3,13,29,3,1,"Noun"
"76","below",5,3.16,0,12,4,2,"Adverb"
"77","belt",4,3.09,12,16,4,1,"Noun"
"78","better",6,4.61,7,16,4,2,"Adverb"
"79","big",3,4.54,16,22,3,1,"Adjective"
"80","bike",4,3.12,9,22,3,1,"Noun"
"81","bill",4,3.78,16,34,3,1,"Name"
"82","bills",5,3.04,10,27,4,1,"Noun"
"83","bird",4,3.37,3,29,3,1,"Noun"
"84","birth",5,3.15,4,18,3,1,"Noun"
"85","birthday",8,3.7,0,0,5,2,"Noun"
"86","bitch",5,3.94,9,22,3,1,"Noun"
"87","black",5,3.93,4,8,4,1,"Adjective"
"88","bloody",6,3.29,2,0,5,2,"Adjective"
"89","boat",4,3.69,9,31,3,1,"Noun"
"90","bodies",6,3.23,2,3,5,2,"Noun"
"91","bomb",4,3.44,4,17,3,1,"Noun"
"92","bond",4,3.2,9,17,4,1,"Name"
"93","bone",4,3.12,14,31,3,1,"Noun"
"94","bones",5,3.19,10,18,4,1,"Noun"
"95","book",4,3.96,13,20,3,1,"Noun"
"96","books",5,3.54,6,14,4,1,"Noun"
"97","bored",5,3.01,5,25,4,1,"Adjective"
"98","boring",6,3.15,4,10,5,2,"Adjective"
"99","born",4,3.63,11,17,4,1,"Verb"
"100","bottle",6,3.41,2,10,4,2,"Noun"
"101","bottom",6,3.41,0,1,5,2,"Noun"
"102","bow",3,3.01,18,35,2,1,"Noun"
"103","bowl",4,3.04,9,35,3,1,"Noun"
"104","boy",3,4.43,15,17,2,1,"Noun"
"105","boys",4,4.06,7,17,3,1,"Noun"
"106","brain",5,3.59,6,16,4,1,"Noun"
"107","brains",6,3.15,5,10,5,1,"Noun"
"108","brave",5,3.21,5,9,4,1,"Adjective"
"109","bread",5,3.16,5,15,4,1,"Noun"
"110","break",5,4.05,5,11,4,1,"Verb"
"111","breath",6,3.36,2,4,4,1,"Noun"
"112","bright",6,3.36,3,11,4,1,"Adjective"
"113","broke",5,3.73,2,9,4,1,"Verb"
"114","brother",7,4.16,1,1,5,2,"Noun"
"115","brown",5,3.49,7,9,4,1,"Name"
"116","bucks",5,3.46,5,12,4,1,"Noun"
"117","bud",3,3.26,13,25,3,1,"Name"
"118","bug",3,3.03,17,26,3,1,"Noun"
"119","bullet",6,3.29,3,2,5,2,"Noun"
"120","bunch",5,3.48,6,8,4,1,"Noun"
"121","burned",6,3.16,3,13,4,1,"Verb"
"122","burning",7,3.19,1,6,5,2,"Verb"
"123","bury",4,3.02,9,20,4,2,"Verb"
"124","bus",3,3.58,8,20,3,1,"Noun"
"125","bust",4,3.15,14,18,4,1,"Verb"
"126","button",6,3.16,1,5,4,2,"Noun"
"127","cable",5,3.04,4,7,4,2,"Noun"
"128","cage",4,3.01,13,15,3,1,"Noun"
"129","cake",4,3.36,18,24,3,1,"Noun"
"130","call",4,4.64,13,31,3,1,"Verb"
"131","calling",7,3.8,3,10,5,2,"Verb"
"132","calls",5,3.61,6,18,4,1,"Noun"
"133","came",4,4.37,18,22,3,1,"Verb"
"134","can",3,5.43,15,27,3,1,"Verb"
"135","cancer",6,3.06,5,5,5,2,"Noun"
"136","candy",5,3.26,6,10,5,2,"Noun"
"137","car",3,4.39,15,21,3,1,"Noun"
"138","card",4,3.64,12,24,4,1,"Noun"
"139","cards",5,3.39,8,8,5,1,"Noun"
"140","care",4,4.39,24,27,3,1,"Verb"
"141","career",6,3.36,3,0,5,2,"Noun"
"142","carol",5,3.17,1,8,5,2,"Name"
"143","carry",5,3.53,7,16,4,2,"Verb"
"144","case",4,4.16,14,21,3,1,"Noun"
"145","cash",4,3.57,12,20,3,1,"Noun"
"146","castle",6,3.04,1,10,4,2,"Noun"
"147","cat",3,3.53,18,32,3,1,"Noun"
"148","catch",5,3.84,6,19,3,1,"Verb"
"149","caught",6,3.68,2,23,3,1,"Verb"
"150","cell",4,3.44,11,25,3,1,"Noun"
"151","cents",5,3.05,3,5,5,1,"Noun"
"152","certain",7,3.64,2,4,4,2,"Adjective"
"153","chance",6,4.09,2,5,4,1,"Noun"
"154","changed",7,3.71,5,1,5,1,"Verb"
"155","channel",7,3.1,1,5,4,2,"Noun"
"156","check",5,4.15,4,16,3,1,"Verb"
"157","checked",7,3.38,1,9,4,1,"Verb"
"158","cheese",6,3.3,0,24,3,1,"Noun"
"159","chief",5,3.6,1,12,3,1,"Noun"
"160","child",5,3.91,3,6,4,1,"Noun"
"161","chip",4,3.02,8,22,3,1,"Noun"
"162","choose",6,3.39,1,17,3,1,"Verb"
"163","chuck",5,3.04,6,17,3,1,"Verb"
"164","city",4,3.94,2,12,4,2,"Noun"
"165","class",5,3.78,8,11,4,1,"Noun"
"166","clear",5,3.94,2,8,4,1,"Adjective"
"167","clever",6,3.14,1,2,5,2,"Adjective"
"168","clock",5,3.48,8,13,4,1,"Noun"
"169","close",5,4.05,3,14,4,1,"Adjective"
"170","closer",6,3.37,4,1,5,2,"Adverb"
"171","clothes",7,3.71,1,14,4,1,"Noun"
"172","club",4,3.7,1,3,4,1,"Noun"
"173","coast",5,3.13,3,15,4,1,"Noun"
"174","coat",4,3.33,8,26,3,1,"Noun"
"175","code",4,3.43,14,30,3,1,"Noun"
"176","coffee",6,3.87,2,3,4,2,"Noun"
"177","cold",4,3.82,12,23,4,1,"Adjective"
"178","college",7,3.64,1,3,5,2,"Noun"
"179","colonel",7,3.69,0,3,4,2,"Noun"
"180","color",5,3.3,1,9,4,2,"Noun"
"181","come",4,5.2,15,22,3,1,"Verb"
"182","coming",6,4.43,4,11,5,2,"Verb"
"183","cook",4,3.37,11,13,3,1,"Verb"
"184","cooking",7,3.12,5,4,5,2,"Noun"
"185","cool",4,4,9,21,3,1,"Adjective"
"186","cop",3,3.64,17,23,3,1,"Noun"
"187","cops",4,3.63,13,17,4,1,"Noun"
"188","copy",4,3.43,4,10,4,2,"Noun"
"189","corner",6,3.43,3,4,5,2,"Noun"
"190","couch",5,3.08,6,7,3,1,"Noun"
"191","could",5,4.92,2,13,3,1,"Verb"
"192","county",6,3.24,2,4,5,2,"Noun"
"193","couple",6,4.06,0,4,4,2,"Noun"
"194","course",6,4.4,1,14,4,1,"Adverb"
"195","court",5,3.71,1,19,4,1,"Noun"
"196","cousin",6,3.4,0,2,4,2,"Noun"
"197","cover",5,3.68,10,5,4,2,"Verb"
"198","covered",7,3.21,2,4,5,2,"Verb"
"199","cow",3,3.11,18,15,2,1,"Noun"
"200","crack",5,3.22,6,16,4,1,"Noun"
"201","crane",5,3.23,5,13,4,1,"Name"
"202","crap",4,3.5,8,12,4,1,"Noun"
"203","creature",8,3.04,0,3,5,2,"Noun"
"204","crew",4,3.38,5,13,3,1,"Noun"
"205","crying",6,3.43,3,4,5,2,"Verb"
"206","cup",3,3.42,8,15,3,1,"Noun"
"207","cure",4,3.03,11,1,4,1,"Noun"
"208","dad",3,4.41,15,22,3,1,"Noun"
"209","daddy",5,3.98,3,17,4,2,"Noun"
"210","damage",6,3.23,0,0,5,2,"Noun"
"211","damn",4,4.16,5,24,3,1,"Adjective"
"212","danger",6,3.35,5,2,5,2,"Noun"
