"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","able",4,3.91,2,2,3,2,"Adjective"
"2","aboard",6,3.13,0,5,5,2,"Adverb"
"3","about",5,5.27,1,3,4,2,"Preposition"
"4","above",5,3.4,1,1,4,2,"Preposition"
"5","access",6,3.21,0,3,5,2,"Noun"
"6","account",7,3.36,0,1,5,2,"Noun"
"7","across",6,3.68,0,0,5,2,"Preposition"
"8","act",3,3.75,5,8,3,1,"Verb"
"9","acting",6,3.43,1,1,5,2,"Verb"
"10","action",6,3.49,0,1,4,2,"Noun"
"11","actor",5,3.13,0,3,4,2,"Noun"
"12","add",3,3.23,6,18,2,1,"Verb"
"13","address",7,3.43,0,0,5,2,"Noun"
"14","admit",5,3.48,0,0,5,2,"Verb"
"15","advice",6,3.39,1,1,5,2,"Noun"
"16","affair",6,3.18,0,3,4,2,"Noun"
"17","afford",6,3.36,0,4,5,2,"Verb"
"18","afraid",6,4.1,0,0,5,2,"Adjective"
"19","after",5,4.54,2,2,4,2,"Preposition"
"20","again",5,4.61,0,0,4,2,"Adverb"
"21","age",3,3.61,10,13,2,1,"Noun"
"22","agent",5,3.72,0,1,5,2,"Noun"
"23","ago",3,4.16,3,1,3,2,"Adverb"
"24","agree",5,3.52,0,0,4,2,"Verb"
"25","agreed",6,3.26,1,2,5,2,"Verb"
"26","ahead",5,4,0,1,4,2,"Adverb"
"27","air",3,3.85,5,12,2,1,"Noun"
"28","alarm",5,3.18,0,0,5,2,"Noun"
"29","alert",5,3.02,1,5,4,2,"Adjective"
"30","alive",5,3.9,3,3,4,2,"Adjective"
"31","all",3,5.42,5,18,2,1,"Determiner"
"32","allow",5,3.35,3,4,3,2,"Verb"
"33","allowed",7,3.36,1,4,4,2,"Verb"
"34","ally",4,3.22,1,8,3,2,"Noun"
"35","alone",5,4.2,3,6,4,2,"Adjective"
"36","along",5,3.97,2,0,4,2,"Adverb"
"37","alright",7,3.61,0,0,5,2,"Adverb"
"38","also",4,4.02,1,1,4,2,"Adverb"
"40","always",6,4.52,0,0,5,2,"Adverb"
"41","am",2,4.75,7,13,2,1,"Verb"
"42","among",5,3.24,1,1,4,2,"Preposition"
"43","amount",6,3.1,0,1,5,2,"Noun"
"45","ancient",7,3.04,0,0,5,2,"Adjective"
"47","angel",5,3.6,1,0,5,2,"Noun"
"48","anger",5,3,2,2,4,2,"Noun"
"49","angry",5,3.48,0,0,5,2,"Adjective"
"50","answer",6,3.95,0,0,4,2,"Verb"
