"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","lead",4,3.63,12,42,3,1,"Verb"
"2","believe",7,4.5,1,2,5,2,"Verb"
"3","left",4,4.39,5,11,4,1,"Verb"
"4","smart",5,3.69,1,1,5,1,"Adjective"
"5","they",4,5.32,4,22,2,1,"Pronoun"
"6","lock",4,3.46,15,29,3,1,"Verb"
"7","smells",6,3.14,5,6,5,1,"Verb"
"8","might",5,4.42,7,31,3,1,"Verb"
"9","leads",5,3,8,17,4,1,"Verb"
"10","are",3,5.42,16,14,2,1,"Verb"
"11","carol",5,3.17,1,8,5,2,"Name"
"12","merry",5,3.3,6,20,4,2,"Adjective"
"13","each",4,4.11,2,7,2,1,"Pronoun"
"14","recall",6,3,0,1,5,2,"Verb"
"15","kitty",5,3.13,2,10,4,2,"Name"
"16","invite",6,3.18,1,4,5,2,"Verb"
"17","normal",6,3.56,2,3,5,2,"Adjective"
"18","sit",3,4.2,16,32,3,1,"Verb"
"19","married",7,4.09,4,4,5,2,"Adjective"
"20","gotten",6,3.44,1,2,4,2,"Verb"
"21","grace",5,3.33,8,19,4,1,"Name"
"22","honest",6,3.57,0,0,5,2,"Adjective"
"23","hurts",5,3.28,1,9,4,1,"Verb"
"24","tiny",4,3.22,3,7,4,2,"Adjective"
"25","josh",4,3.02,5,11,3,1,"Name"
"26","lousy",5,3.08,2,1,4,2,"Adjective"
"27","worth",5,3.75,2,11,3,1,"Preposition"
"28","quick",5,3.74,3,10,4,1,"Adjective"
"29","shore",5,3.01,13,34,3,1,"Name"
"30","somehow",7,3.36,0,0,5,2,"Adverb"
"31","must",4,4.55,15,16,4,1,"Verb"
"32","less",4,3.75,8,18,3,1,"Adverb"
"33","easy",4,4.13,2,3,3,2,"Adjective"
"34","split",5,3.29,1,1,5,1,"Verb"
"35","shake",5,3.31,11,24,3,1,"Verb"
"36","nasty",5,3.06,4,0,5,2,"Adjective"
"37","twice",5,3.5,1,1,4,1,"Adverb"
"38","around",6,4.57,2,6,5,2,"Adverb"
"39","tells",5,3.43,7,17,4,1,"Verb"
"40","waited",6,3.17,7,14,5,2,"Verb"
"41","own",3,4.37,2,17,2,1,"Determiner"
"42","forced",6,3.13,4,4,5,1,"Verb"
"43","falling",7,3.26,4,12,5,2,"Verb"
"44","fancy",5,3.25,2,2,5,2,"Adjective"
"45","sure",4,4.75,6,17,3,1,"Adjective"
"46","stand",5,4.06,2,8,5,1,"Verb"
"47","over",4,4.83,3,8,3,2,"Adverb"
"48","first",5,4.63,0,11,4,1,"Number"
"49","shoot",5,3.92,4,16,3,1,"Verb"
"50","wonder",6,3.78,5,6,5,2,"Verb"
"51","means",5,4.05,8,18,4,1,"Verb"
"52","then",4,4.88,7,17,3,1,"Adverb"
"53","attacked",8,3.09,2,4,5,2,"Verb"
"54","writing",7,3.46,2,19,5,2,"Verb"
"55","mine",4,4.11,20,27,3,1,"Pronoun"
"56","famous",6,3.36,0,0,5,2,"Adjective"
"57","marshall",8,3.12,0,6,5,2,"Name"
"58","met",3,3.99,15,28,3,1,"Verb"
"59","ours",4,3.26,2,7,3,1,"Pronoun"
"60","meant",5,3.73,1,19,4,1,"Verb"
"61","bill",4,3.78,16,34,3,1,"Name"
"62","kicked",6,3.19,6,11,4,1,"Verb"
"63","near",4,3.63,13,31,3,1,"Preposition"
"64","mad",3,3.76,17,29,3,1,"Adjective"
"65","big",3,4.54,16,22,3,1,"Adjective"
"66","four",4,4.12,7,32,3,1,"Number"
"67","lose",4,3.92,14,31,3,1,"Verb"
"68","bury",4,3.02,9,20,4,2,"Verb"
"69","enjoy",5,3.63,1,1,4,2,"Verb"
"70","pierce",6,3.12,2,6,4,1,"Name"
"71","under",5,4.13,1,2,4,2,"Preposition"
"72","cold",4,3.82,12,23,4,1,"Adjective"
"73","round",5,3.53,7,16,4,1,"Adjective"
"74","final",5,3.4,0,7,4,2,"Adjective"
"75","enough",6,4.41,0,1,4,2,"Adverb"
"76","entire",6,3.61,1,1,5,2,"Adjective"
"77","pretty",6,4.3,0,3,5,2,"Adverb"
"78","off",3,4.78,2,10,2,1,"Adverb"
"79","learn",5,3.78,1,18,3,1,"Verb"
"80","is",2,5.66,7,15,2,1,"Verb"
"81","makes",5,4.09,10,12,4,1,"Verb"
"82","afraid",6,4.1,0,0,5,2,"Adjective"
"83","break",5,4.05,5,11,4,1,"Verb"
"84","feeling",7,3.93,4,15,5,2,"Verb"
"85","young",5,4.09,0,6,3,1,"Adjective"
"86","wish",4,4.08,7,14,3,1,"Verb"
"87","taking",6,4.09,5,9,5,2,"Verb"
"88","red",3,3.88,11,27,3,1,"Adjective"
"89","stops",5,3.05,2,6,5,1,"Verb"
"90","foreign",7,3.06,0,4,5,2,"Adjective"
"91","choose",6,3.39,1,17,3,1,"Verb"
"92","put",3,4.63,15,17,3,1,"Verb"
"93","eating",6,3.49,5,5,4,2,"Verb"
"94","brave",5,3.21,5,9,4,1,"Adjective"
"95","suck",4,3.25,12,26,3,1,"Verb"
"96","all",3,5.42,5,18,2,1,"Determiner"
"97","him",3,5.25,12,22,3,1,"Pronoun"
"98","look",4,5,11,18,3,1,"Verb"
"99","miller",6,3.07,4,11,4,2,"Name"
"100","return",6,3.67,0,1,5,2,"Verb"
"101","finds",5,3.17,8,8,5,1,"Verb"
"102","shows",5,3.33,6,25,3,1,"Verb"
"103","yelling",7,3.04,5,5,5,2,"Verb"
"104","ran",3,3.63,17,28,3,1,"Verb"
"105","per",3,3.06,9,16,2,1,"Preposition"
"106","release",7,3.27,0,2,5,2,"Verb"
"107","mention",7,3.48,0,3,5,2,"Verb"
"108","planned",7,3.21,2,7,5,1,"Verb"
"109","carry",5,3.53,7,16,4,2,"Verb"
"110","laid",4,3.18,9,33,3,1,"Verb"
"111","drive",5,3.89,1,7,4,1,"Verb"
"112","early",5,3.74,0,8,3,2,"Adverb"
"113","pass",4,3.74,14,21,3,1,"Verb"
"114","mighty",6,3.13,1,8,4,2,"Adjective"
"115","come",4,5.2,15,22,3,1,"Verb"
"116","someday",7,3.24,0,2,5,2,"Adverb"
"117","stole",5,3.43,6,11,4,1,"Verb"
"118","call",4,4.64,13,31,3,1,"Verb"
"119","pushed",6,3.02,4,1,4,1,"Verb"
"120","feed",4,3.34,14,26,3,1,"Verb"
"121","whose",5,3.5,4,33,3,1,"Determiner"
"122","stay",4,4.42,8,8,3,1,"Verb"
"123","nothing",7,4.64,0,2,5,2,"Pronoun"
"124","loved",5,3.75,6,7,4,1,"Verb"
"125","fast",4,3.85,11,19,4,1,"Adverb"
