"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","map",3,3.21,18,25,3,1,"Noun"
"2","value",5,3.04,2,0,5,2,"Noun"
"3","page",4,3.28,11,16,3,1,"Noun"
"4","head",4,4.28,13,28,3,1,"Noun"
"5","staff",5,3.21,2,8,4,1,"Noun"
"6","band",4,3.44,14,17,4,1,"Noun"
"7","end",3,4.13,1,8,3,1,"Noun"
"8","nature",6,3.36,1,2,4,2,"Noun"
"9","gift",4,3.52,5,8,4,1,"Noun"
"10","future",6,3.72,1,0,5,2,"Noun"
"11","search",6,3.39,1,11,3,1,"Noun"
"12","eyes",4,4.05,2,17,2,1,"Noun"
"13","mood",4,3.24,9,25,3,1,"Noun"
"14","college",7,3.64,1,3,5,2,"Noun"
"15","driver",6,3.38,3,1,5,2,"Noun"
"16","rabbit",6,3.03,0,2,5,2,"Noun"
"17","thanks",6,4.5,1,6,5,1,"Noun"
"18","person",6,4.04,1,3,4,2,"Noun"
"19","rope",4,3.06,16,30,3,1,"Noun"
"20","bomb",4,3.44,4,17,3,1,"Noun"
"21","pet",3,3.01,21,28,3,1,"Noun"
"22","dollar",6,3.15,1,8,4,2,"Noun"
"23","pressure",8,3.43,0,0,5,2,"Noun"
"24","prince",6,3.36,1,3,5,1,"Noun"
"25","engine",6,3.21,0,0,5,2,"Noun"
"26","idiot",5,3.53,1,1,5,2,"Noun"
"27","thousand",8,3.55,0,1,5,2,"Noun"
"28","jacket",6,3.23,2,2,5,2,"Noun"
"29","bitch",5,3.94,9,22,3,1,"Noun"
"30","chief",5,3.6,1,12,3,1,"Noun"
"31","guts",4,3.08,10,9,4,1,"Noun"
"32","range",5,3.07,0,9,4,1,"Noun"
"33","wife",4,4.25,9,13,3,1,"Noun"
"34","pocket",6,3.26,6,7,5,2,"Noun"
"35","cure",4,3.03,11,1,4,1,"Noun"
"36","pieces",6,3.25,2,7,5,2,"Noun"
"37","tail",4,3.09,13,36,3,1,"Noun"
"38","plant",5,3.15,4,5,5,1,"Noun"
"39","price",5,3.44,4,6,4,1,"Noun"
"40","type",4,3.49,2,17,3,1,"Noun"
"41","tree",4,3.52,4,9,3,1,"Noun"
"42","research",8,3.23,0,0,5,2,"Noun"
"43","loss",4,3.17,13,17,3,1,"Noun"
"44","lunch",5,3.73,6,7,4,1,"Noun"
"45","film",4,3.52,3,6,4,1,"Noun"
"46","effect",6,3.09,1,4,5,2,"Noun"
"47","metal",5,3,2,12,4,2,"Noun"
"48","edge",4,3.08,1,9,2,1,"Noun"
"49","amount",6,3.1,0,1,5,2,"Noun"
"50","party",5,4.08,6,5,5,2,"Noun"
"51","weapon",6,3.38,0,0,5,2,"Noun"
"52","pair",4,3.28,6,32,3,1,"Noun"
"53","magic",5,3.43,1,1,5,2,"Noun"
"54","lights",6,3.46,4,18,4,1,"Noun"
"55","sake",4,3.51,16,28,3,1,"Noun"
"56","bird",4,3.37,3,29,3,1,"Noun"
"57","milk",4,3.34,7,6,4,1,"Noun"
"58","proof",5,3.24,0,4,4,1,"Noun"
"59","aunt",4,3.45,4,9,3,1,"Noun"
"60","belt",4,3.09,12,16,4,1,"Noun"
"61","trip",4,3.62,6,11,4,1,"Noun"
"62","truth",5,3.99,0,4,4,1,"Noun"
"63","wire",4,3.15,16,22,3,1,"Noun"
"64","cake",4,3.36,18,24,3,1,"Noun"
"65","letters",7,3.28,2,12,5,2,"Noun"
"66","series",6,3.01,1,3,5,2,"Noun"
"67","sea",3,3.48,10,28,2,1,"Noun"
"68","east",4,3.4,10,3,3,1,"Noun"
"69","months",6,3.92,1,0,5,1,"Noun"
"70","mayor",5,3.2,2,0,4,1,"Noun"
"71","chance",6,4.09,2,5,4,1,"Noun"
"72","skin",4,3.35,8,10,4,1,"Noun"
"73","jury",4,3.34,4,2,4,2,"Noun"
"74","tongue",6,3.2,0,15,3,1,"Noun"
"75","sheriff",7,3.49,0,1,5,2,"Noun"
"76","throat",6,3.26,1,7,4,1,"Noun"
"77","fool",4,3.66,10,24,3,1,"Noun"
"78","hook",4,3.29,12,14,3,1,"Noun"
"79","queen",5,3.45,1,1,4,1,"Noun"
"80","rat",3,3.22,19,36,3,1,"Noun"
"81","outfit",6,3.11,1,3,5,2,"Noun"
"82","friend",6,4.33,0,4,5,1,"Noun"
"83","pain",4,3.7,11,37,3,1,"Noun"
"84","dinner",6,4.01,2,12,4,2,"Noun"
"85","mum",3,3.04,8,24,3,1,"Noun"
"86","feet",4,3.79,8,22,3,1,"Noun"
"87","cup",3,3.42,8,15,3,1,"Noun"
"88","stairs",6,3.08,1,9,5,1,"Noun"
"89","turkey",6,3.06,0,7,4,2,"Noun"
"90","mountain",8,3.26,1,2,5,2,"Noun"
"91","jerk",4,3.23,1,13,3,1,"Noun"
"92","guys",4,4.51,4,18,3,1,"Noun"
"93","drugs",5,3.39,2,4,5,1,"Noun"
"94","mercy",5,3.11,1,7,4,2,"Noun"
"95","master",6,3.65,8,8,5,2,"Noun"
"96","weight",6,3.27,3,30,3,1,"Noun"
"97","crew",4,3.38,5,13,3,1,"Noun"
"98","loser",5,3.14,6,8,4,2,"Noun"
"99","bell",4,3.3,13,29,3,1,"Noun"
"100","shoe",4,3.19,6,33,2,1,"Noun"
"101","candy",5,3.26,6,10,5,2,"Noun"
"102","peace",5,3.55,3,22,3,1,"Noun"
"103","leg",3,3.46,12,13,3,1,"Noun"
"104","age",3,3.61,10,13,2,1,"Noun"
"105","yard",4,3.11,6,13,4,1,"Noun"
"106","toast",5,3.23,3,11,4,1,"Noun"
"107","face",4,4.17,11,20,3,1,"Noun"
"108","ears",4,3.23,10,11,3,1,"Noun"
"109","note",4,3.44,7,29,3,1,"Noun"
"110","wallet",6,3.07,4,2,5,2,"Noun"
"111","cage",4,3.01,13,15,3,1,"Noun"
"112","arm",3,3.52,5,4,3,1,"Noun"
"113","flowers",7,3.39,2,6,5,1,"Noun"
"114","mouth",5,3.73,4,6,3,1,"Noun"
"115","car",3,4.39,15,21,3,1,"Noun"
"116","beer",4,3.59,12,40,3,1,"Noun"
"117","pilot",5,3.13,1,5,5,2,"Noun"
"118","coast",5,3.13,3,15,4,1,"Noun"
"119","passion",7,3,0,3,4,2,"Noun"
"120","bat",3,3.02,19,37,3,1,"Noun"
"121","truck",5,3.57,4,6,4,1,"Noun"
"122","key",3,3.65,3,23,2,1,"Noun"
"123","cop",3,3.64,17,23,3,1,"Noun"
"124","fruit",5,3.04,0,6,4,1,"Noun"
"125","bunch",5,3.48,6,8,4,1,"Noun"
"126","mind",4,4.39,13,17,4,1,"Noun"
"127","kitchen",7,3.47,0,0,5,2,"Noun"
"128","reason",6,3.99,1,5,4,2,"Noun"
"129","pounds",6,3.2,6,7,5,1,"Noun"
"130","doctor",6,4.13,0,0,5,2,"Noun"
"131","crap",4,3.5,8,12,4,1,"Noun"
"132","moon",4,3.41,11,25,3,1,"Noun"
"133","rest",4,4.04,11,21,4,1,"Noun"
"134","mirror",6,3.09,0,9,3,1,"Noun"
"135","navy",4,3.12,1,4,4,2,"Noun"
"136","patient",7,3.51,0,1,5,2,"Noun"
"137","owner",5,3.07,1,9,3,2,"Noun"
"138","honey",5,4.19,3,12,4,2,"Noun"
"139","garden",6,3.13,2,5,5,2,"Noun"
"140","model",5,3.21,5,12,4,2,"Noun"
