"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","believe",7,4.5,1,2,5,2,"Verb"
"2","smells",6,3.14,5,6,5,1,"Verb"
"3","leads",5,3,8,17,4,1,"Verb"
"4","are",3,5.42,16,14,2,1,"Verb"
"5","carol",5,3.17,1,8,5,2,"Name"
"6","recall",6,3,0,1,5,2,"Verb"
"7","invite",6,3.18,1,4,5,2,"Verb"
"8","normal",6,3.56,2,3,5,2,"Adjective"
"9","sit",3,4.2,16,32,3,1,"Verb"
"10","married",7,4.09,4,4,5,2,"Adjective"
"11","honest",6,3.57,0,0,5,2,"Adjective"
"12","hurts",5,3.28,1,9,4,1,"Verb"
"13","tiny",4,3.22,3,7,4,2,"Adjective"
"14","josh",4,3.02,5,11,3,1,"Name"
"15","lousy",5,3.08,2,1,4,2,"Adjective"
"16","worth",5,3.75,2,11,3,1,"Preposition"
"17","shore",5,3.01,13,34,3,1,"Name"
"18","somehow",7,3.36,0,0,5,2,"Adverb"
"19","must",4,4.55,15,16,4,1,"Verb"
"20","less",4,3.75,8,18,3,1,"Adverb"
"21","easy",4,4.13,2,3,3,2,"Adjective"
"22","split",5,3.29,1,1,5,1,"Verb"
"23","around",6,4.57,2,6,5,2,"Adverb"
"24","waited",6,3.17,7,14,5,2,"Verb"
"25","own",3,4.37,2,17,2,1,"Determiner"
"26","forced",6,3.13,4,4,5,1,"Verb"
"27","fancy",5,3.25,2,2,5,2,"Adjective"
"28","sure",4,4.75,6,17,3,1,"Adjective"
"29","stand",5,4.06,2,8,5,1,"Verb"
"30","over",4,4.83,3,8,3,2,"Adverb"
"31","first",5,4.63,0,11,4,1,"Number"
"32","means",5,4.05,8,18,4,1,"Verb"
"33","attacked",8,3.09,2,4,5,2,"Verb"
"34","famous",6,3.36,0,0,5,2,"Adjective"
"35","ours",4,3.26,2,7,3,1,"Pronoun"
"36","bill",4,3.78,16,34,3,1,"Name"
"37","kicked",6,3.19,6,11,4,1,"Verb"
"38","near",4,3.63,13,31,3,1,"Preposition"
"39","lose",4,3.92,14,31,3,1,"Verb"
"40","enjoy",5,3.63,1,1,4,2,"Verb"
"41","pierce",6,3.12,2,6,4,1,"Name"
"42","under",5,4.13,1,2,4,2,"Preposition"
"43","cold",4,3.82,12,23,4,1,"Adjective"
"44","final",5,3.4,0,7,4,2,"Adjective"
"45","enough",6,4.41,0,1,4,2,"Adverb"
"46","entire",6,3.61,1,1,5,2,"Adjective"
"47","pretty",6,4.3,0,3,5,2,"Adverb"
"48","off",3,4.78,2,10,2,1,"Adverb"
"49","makes",5,4.09,10,12,4,1,"Verb"
"50","afraid",6,4.1,0,0,5,2,"Adjective"
"51","break",5,4.05,5,11,4,1,"Verb"
"52","young",5,4.09,0,6,3,1,"Adjective"
"53","wish",4,4.08,7,14,3,1,"Verb"
"54","taking",6,4.09,5,9,5,2,"Verb"
"55","stops",5,3.05,2,6,5,1,"Verb"
"56","foreign",7,3.06,0,4,5,2,"Adjective"
"57","choose",6,3.39,1,17,3,1,"Verb"
"58","brave",5,3.21,5,9,4,1,"Adjective"
"59","all",3,5.42,5,18,2,1,"Determiner"
"60","him",3,5.25,12,22,3,1,"Pronoun"
"61","look",4,5,11,18,3,1,"Verb"
"62","miller",6,3.07,4,11,4,2,"Name"
"63","return",6,3.67,0,1,5,2,"Verb"
"64","yelling",7,3.04,5,5,5,2,"Verb"
"65","ran",3,3.63,17,28,3,1,"Verb"
"66","per",3,3.06,9,16,2,1,"Preposition"
"67","mention",7,3.48,0,3,5,2,"Verb"
"68","planned",7,3.21,2,7,5,1,"Verb"
"69","laid",4,3.18,9,33,3,1,"Verb"
"70","drive",5,3.89,1,7,4,1,"Verb"
"71","early",5,3.74,0,8,3,2,"Adverb"
"72","pass",4,3.74,14,21,3,1,"Verb"
"73","come",4,5.2,15,22,3,1,"Verb"
"74","someday",7,3.24,0,2,5,2,"Adverb"
"75","stole",5,3.43,6,11,4,1,"Verb"
"76","pushed",6,3.02,4,1,4,1,"Verb"
"77","feed",4,3.34,14,26,3,1,"Verb"
"78","whose",5,3.5,4,33,3,1,"Determiner"
"79","nothing",7,4.64,0,2,5,2,"Pronoun"
"80","crying",6,3.43,3,4,5,2,"Verb"
"81","heard",5,4.3,4,20,3,1,"Verb"
"82","tied",4,3.14,6,30,3,1,"Verb"
"83","avoid",5,3.09,0,2,4,2,"Verb"
"84","least",5,4.03,6,14,4,1,"Adverb"
"85","trying",6,4.36,4,3,5,2,"Verb"
"86","good",4,5.12,8,10,3,1,"Adjective"
"87","grand",5,3.51,4,9,5,1,"Adjective"
