"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","plate",5,3.12,5,13,4,1,"Noun"
"2","meeting",7,3.83,1,12,5,2,"Noun"
"3","shadow",6,3.03,0,2,4,2,"Noun"
"4","cash",4,3.57,12,20,3,1,"Noun"
"5","research",8,3.23,0,0,5,2,"Noun"
"6","golf",4,3.11,4,2,4,1,"Noun"
"7","sea",3,3.48,10,28,2,1,"Noun"
"8","idiot",5,3.53,1,1,5,2,"Noun"
"9","bitch",5,3.94,9,22,3,1,"Noun"
"10","steps",5,3.1,3,2,5,1,"Noun"
"11","coffee",6,3.87,2,3,4,2,"Noun"
"12","cow",3,3.11,18,15,2,1,"Noun"
"13","snow",4,3.2,6,3,3,1,"Noun"
"14","panic",5,3.05,2,1,5,2,"Noun"
"15","zone",4,3.01,8,14,3,1,"Noun"
"16","wire",4,3.15,16,22,3,1,"Noun"
"17","couple",6,4.06,0,4,4,2,"Noun"
"18","favor",5,3.56,1,8,4,2,"Noun"
"19","tongue",6,3.2,0,15,3,1,"Noun"
"20","jerk",4,3.23,1,13,3,1,"Noun"
"21","mirror",6,3.09,0,9,3,1,"Noun"
"22","dollar",6,3.15,1,8,4,2,"Noun"
"23","police",6,4.08,2,1,5,2,"Noun"
"24","driver",6,3.38,3,1,5,2,"Noun"
"25","sword",5,3.13,2,18,4,1,"Noun"
"26","owner",5,3.07,1,9,3,2,"Noun"
"27","knees",5,3.12,1,27,3,1,"Noun"
"28","sugar",5,3.28,0,0,4,2,"Noun"
"29","trace",5,3,6,11,4,1,"Noun"
"30","birth",5,3.15,4,18,3,1,"Noun"
"31","shape",5,3.19,6,14,3,1,"Noun"
"32","store",5,3.62,13,10,4,1,"Noun"
"33","air",3,3.85,5,12,2,1,"Noun"
"34","card",4,3.64,12,24,4,1,"Noun"
"35","bodies",6,3.23,2,3,5,2,"Noun"
"36","bar",3,3.64,15,26,3,1,"Noun"
"37","story",5,4.05,4,5,5,2,"Noun"
"38","shopping",8,3.19,5,9,5,2,"Noun"
"39","bullet",6,3.29,3,2,5,2,"Noun"
"40","case",4,4.16,14,21,3,1,"Noun"
"41","doctor",6,4.13,0,0,5,2,"Noun"
"42","plant",5,3.15,4,5,5,1,"Noun"
"43","turkey",6,3.06,0,7,4,2,"Noun"
"44","size",4,3.37,4,31,3,1,"Noun"
"45","record",6,3.64,1,0,5,2,"Noun"
"46","series",6,3.01,1,3,5,2,"Noun"
"47","mercy",5,3.11,1,7,4,2,"Noun"
"48","test",4,3.63,13,18,4,1,"Noun"
"49","sport",5,3.01,5,2,5,1,"Noun"
"50","ones",4,3.71,3,15,4,1,"Noun"
"51","death",5,4.04,1,9,3,1,"Noun"
"52","land",4,3.65,11,16,4,1,"Noun"
"53","rest",4,4.04,11,21,4,1,"Noun"
"54","candy",5,3.26,6,10,5,2,"Noun"
"55","party",5,4.08,6,5,5,2,"Noun"
"56","wallet",6,3.07,4,2,5,2,"Noun"
"57","cage",4,3.01,13,15,3,1,"Noun"
"58","search",6,3.39,1,11,3,1,"Noun"
"59","rat",3,3.22,19,36,3,1,"Noun"
"60","hand",4,4.15,9,13,4,1,"Noun"
"61","passion",7,3,0,3,4,2,"Noun"
"62","jobs",4,3.15,8,13,4,1,"Noun"
"63","bones",5,3.19,10,18,4,1,"Noun"
"64","matters",7,3.23,5,12,5,2,"Noun"
"65","queen",5,3.45,1,1,4,1,"Noun"
"66","view",4,3.29,2,10,3,1,"Noun"
"67","gun",3,4.04,13,24,3,1,"Noun"
"68","truck",5,3.57,4,6,4,1,"Noun"
"69","times",5,4.05,10,19,4,1,"Noun"
"70","guts",4,3.08,10,9,4,1,"Noun"
"71","angel",5,3.6,1,0,5,2,"Noun"
"72","effect",6,3.09,1,4,5,2,"Noun"
"73","papers",6,3.42,4,5,5,2,"Noun"
"74","jail",4,3.56,11,31,3,1,"Noun"
"75","stuff",5,4.19,4,10,4,1,"Noun"
"76","channel",7,3.1,1,5,4,2,"Noun"
"77","garden",6,3.13,2,5,5,2,"Noun"
"78","master",6,3.65,8,8,5,2,"Noun"
"79","bug",3,3.03,17,26,3,1,"Noun"
"80","trash",5,3.06,3,7,4,1,"Noun"
"81","years",5,4.46,10,16,4,1,"Noun"
"82","page",4,3.28,11,16,3,1,"Noun"
"83","career",6,3.36,3,0,5,2,"Noun"
"84","film",4,3.52,3,6,4,1,"Noun"
"85","mum",3,3.04,8,24,3,1,"Noun"
"86","arrest",6,3.48,0,4,5,2,"Noun"
"87","bottom",6,3.41,0,1,5,2,"Noun"
"88","lights",6,3.46,4,18,4,1,"Noun"
"89","lesson",6,3.22,2,6,4,2,"Noun"
"90","thief",5,3.09,1,8,3,1,"Noun"
"91","bowl",4,3.04,9,35,3,1,"Noun"
"92","power",5,3.88,9,19,3,1,"Noun"
"93","bell",4,3.3,13,29,3,1,"Noun"
"94","square",6,3.21,1,1,5,1,"Noun"
"95","metal",5,3,2,12,4,2,"Noun"
"96","winner",6,3.2,5,9,4,2,"Noun"
"97","jacket",6,3.23,2,2,5,2,"Noun"
"98","tower",5,3.07,10,16,3,1,"Noun"
"99","battle",6,3.33,4,13,4,2,"Noun"
"100","tail",4,3.09,13,36,3,1,"Noun"
"101","flesh",5,3.05,3,8,4,1,"Noun"
"102","spot",4,3.5,7,11,4,1,"Noun"
"103","dreams",6,3.52,3,5,5,1,"Noun"
"104","aunt",4,3.45,4,9,3,1,"Noun"
"105","table",5,3.73,4,6,4,2,"Noun"
"106","field",5,3.55,3,20,4,1,"Noun"
"107","letters",7,3.28,2,12,5,2,"Noun"
"108","fool",4,3.66,10,24,3,1,"Noun"
"109","kinds",5,3.05,5,5,5,1,"Noun"
"110","pieces",6,3.25,2,7,5,2,"Noun"
"111","cake",4,3.36,18,24,3,1,"Noun"
"112","club",4,3.7,1,3,4,1,"Noun"
"113","skin",4,3.35,8,10,4,1,"Noun"
"114","doll",4,3.1,11,13,3,1,"Noun"
"115","names",5,3.44,4,8,4,1,"Noun"
"116","station",7,3.61,0,0,5,2,"Noun"
"117","lady",4,4.04,3,10,4,2,"Noun"
"118","season",6,3.21,1,5,4,2,"Noun"
"119","pot",3,3.06,17,30,3,1,"Noun"
"120","event",5,3.13,0,0,5,2,"Noun"
"121","health",6,3.31,2,5,4,1,"Noun"
"122","level",5,3.42,4,7,4,2,"Noun"
"123","media",5,3.06,1,1,5,2,"Noun"
"124","pounds",6,3.2,6,7,5,1,"Noun"
"125","pills",5,3.1,9,29,4,1,"Noun"
"126","cheese",6,3.3,0,24,3,1,"Noun"
"127","trouble",7,4.06,0,3,5,2,"Noun"
"128","house",5,4.42,5,11,3,1,"Noun"
"129","fire",4,4.04,13,21,3,1,"Noun"
"130","crew",4,3.38,5,13,3,1,"Noun"
"131","lines",5,3.29,16,23,4,1,"Noun"
"132","creature",8,3.04,0,3,5,2,"Noun"
"133","offered",7,3.13,0,1,4,2,"Verb"
"134","call",4,4.64,13,31,3,1,"Verb"
"135","drag",4,3.13,7,6,4,1,"Verb"
"136","suck",4,3.25,12,26,3,1,"Verb"
"137","chuck",5,3.04,6,17,3,1,"Verb"
"138","wore",4,3.03,20,31,3,1,"Verb"
"139","finds",5,3.17,8,8,5,1,"Verb"
"140","talk",4,4.64,8,20,3,1,"Verb"
"141","turn",4,4.19,5,19,3,1,"Verb"
"142","still",5,4.6,6,15,4,1,"Adverb"
"143","took",4,4.24,8,17,3,1,"Verb"
"144","round",5,3.53,7,16,4,1,"Adjective"
"145","you",3,6.33,2,29,2,1,"Pronoun"
"146","smith",5,3.27,1,1,4,1,"Name"
"147","twice",5,3.5,1,1,4,1,"Adverb"
"148","mighty",6,3.13,1,8,4,2,"Adjective"
"149","these",5,4.66,3,18,3,1,"Determiner"
"150","wonder",6,3.78,5,6,5,2,"Verb"
"151","dumb",4,3.38,2,31,3,1,"Adjective"
"152","steal",5,3.43,4,10,4,1,"Verb"
"153","empty",5,3.38,0,0,5,2,"Adjective"
"154","want",4,5.15,12,10,4,1,"Verb"
"155","left",4,4.39,5,11,4,1,"Verb"
"156","nine",4,3.54,12,22,3,1,"Number"
"157","bury",4,3.02,9,20,4,2,"Verb"
"158","loved",5,3.75,6,7,4,1,"Verb"
"159","marshall",8,3.12,0,6,5,2,"Name"
"160","lily",4,3.14,3,13,4,2,"Name"
"161","bright",6,3.36,3,11,4,1,"Adjective"
"162","please",6,4.75,0,9,4,1,"Adverb"
"163","mental",6,3,3,6,5,2,"Adjective"
"164","green",5,3.57,4,15,4,1,"Adjective"
"165","then",4,4.88,7,17,3,1,"Adverb"
"166","awesome",7,3.2,0,1,3,2,"Adjective"
"167","singing",7,3.36,5,7,5,2,"Verb"
"168","catch",5,3.84,6,19,3,1,"Verb"
"169","playing",7,3.88,3,4,5,2,"Verb"
"170","deep",4,3.59,9,19,3,1,"Adjective"
"171","falling",7,3.26,4,12,5,2,"Verb"
"172","keep",4,4.55,9,24,3,1,"Verb"
"173","proper",6,3.11,1,5,5,2,"Adjective"
"174","bad",3,4.44,19,28,3,1,"Adjective"
"175","receive",7,3,1,0,5,2,"Verb"
"176","woke",4,3.13,7,16,3,1,"Verb"
"177","send",4,3.96,10,16,4,1,"Verb"
"178","knocked",7,3.1,1,11,4,1,"Verb"
"179","care",4,4.39,24,27,3,1,"Verb"
"180","mad",3,3.76,17,29,3,1,"Adjective"
"181","carry",5,3.53,7,16,4,2,"Verb"
"182","go",2,5.29,7,28,2,1,"Verb"
"183","feeling",7,3.93,4,15,5,2,"Verb"
"184","make",4,4.85,17,30,3,1,"Verb"
"185","none",4,3.75,13,23,3,1,"Pronoun"
"186","there",5,5.35,3,21,3,1,"Ex"
"187","suffer",6,3.06,3,11,4,2,"Verb"
"188","straight",8,3.8,0,6,5,1,"Adverb"
"189","appears",7,3.03,1,1,5,2,"Verb"
"190","will",4,5.03,16,30,3,1,"Verb"
"191","grace",5,3.33,8,19,4,1,"Name"
"192","works",5,3.73,4,10,4,1,"Verb"
"193","covered",7,3.21,2,4,5,2,"Verb"
"194","quick",5,3.74,3,10,4,1,"Adjective"
"195","writing",7,3.46,2,19,5,2,"Verb"
"196","crane",5,3.23,5,13,4,1,"Name"
"197","shoot",5,3.92,4,16,3,1,"Verb"
"198","release",7,3.27,0,2,5,2,"Verb"
"199","learn",5,3.78,1,18,3,1,"Verb"
"200","changed",7,3.71,5,1,5,1,"Verb"
"201","sue",3,3.18,10,38,2,1,"Verb"
"202","shake",5,3.31,11,24,3,1,"Verb"
"203","suppose",7,3.81,0,0,5,2,"Verb"
"204","waste",5,3.43,5,15,4,1,"Verb"
"205","wide",4,3.08,13,32,3,1,"Adjective"
"206","four",4,4.12,7,32,3,1,"Number"
"207","scared",6,3.83,7,8,5,1,"Adjective"
"208","think",5,5.14,4,12,4,1,"Verb"
"209","bond",4,3.2,9,17,4,1,"Name"
"210","broke",5,3.73,2,9,4,1,"Verb"
"211","third",5,3.58,0,9,3,1,"Number"
"212","hold",4,4.35,11,22,4,1,"Verb"
"213","in",2,5.7,7,14,2,1,"Preposition"
"214","into",4,4.63,3,3,4,2,"Preposition"
"215","they",4,5.32,4,22,2,1,"Pronoun"
"216","gotten",6,3.44,1,2,4,2,"Verb"
"217","fourth",6,3.13,0,9,4,1,"Number"
"218","glad",4,3.94,3,8,4,1,"Adjective"
"219","remove",6,3.04,1,0,5,2,"Verb"
"220","any",3,4.75,4,7,3,2,"Determiner"
"221","fast",4,3.85,11,19,4,1,"Adverb"
"222","hired",5,3.23,7,9,4,1,"Verb"
"223","holy",4,3.54,2,11,4,2,"Adjective"
"224","course",6,4.4,1,14,4,1,"Adverb"
"225","stay",4,4.42,8,8,3,1,"Verb"
"226","brown",5,3.49,7,9,4,1,"Name"
"227","won",3,4.59,11,20,3,1,"Verb"
"228","sold",4,3.42,9,21,4,1,"Verb"
"229","front",5,3.97,2,2,5,1,"Preposition"
"230","threw",5,3.32,3,8,3,1,"Verb"
"231","met",3,3.99,15,28,3,1,"Verb"
"232","kitty",5,3.13,2,10,4,2,"Name"
"233","drew",4,3.11,4,10,3,1,"Name"
"234","asleep",6,3.41,0,0,5,2,"Adjective"
"235","each",4,4.11,2,7,2,1,"Pronoun"
"236","dump",4,3.17,8,10,4,1,"Verb"
"237","merry",5,3.3,6,20,4,2,"Adjective"
"238","back",4,5.01,17,34,3,1,"Adverb"
"239","ray",3,3.7,19,24,2,1,"Name"
"240","meant",5,3.73,1,19,4,1,"Verb"
