"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"329","offered",7,3.13,0,1,4,2,"Verb"
"118","call",4,4.64,13,31,3,1,"Verb"
"299","drag",4,3.13,7,6,4,1,"Verb"
"95","suck",4,3.25,12,26,3,1,"Verb"
"237","chuck",5,3.04,6,17,3,1,"Verb"
"279","wore",4,3.03,20,31,3,1,"Verb"
"101","finds",5,3.17,8,8,5,1,"Verb"
"293","talk",4,4.64,8,20,3,1,"Verb"
"226","turn",4,4.19,5,19,3,1,"Verb"
"305","still",5,4.6,6,15,4,1,"Adverb"
"238","took",4,4.24,8,17,3,1,"Verb"
"73","round",5,3.53,7,16,4,1,"Adjective"
"215","you",3,6.33,2,29,2,1,"Pronoun"
"282","smith",5,3.27,1,1,4,1,"Name"
"37","twice",5,3.5,1,1,4,1,"Adverb"
"114","mighty",6,3.13,1,8,4,2,"Adjective"
"351","these",5,4.66,3,18,3,1,"Determiner"
"50","wonder",6,3.78,5,6,5,2,"Verb"
"297","dumb",4,3.38,2,31,3,1,"Adjective"
"251","steal",5,3.43,4,10,4,1,"Verb"
"204","empty",5,3.38,0,0,5,2,"Adjective"
"355","want",4,5.15,12,10,4,1,"Verb"
"3","left",4,4.39,5,11,4,1,"Verb"
"335","nine",4,3.54,12,22,3,1,"Number"
"68","bury",4,3.02,9,20,4,2,"Verb"
"124","loved",5,3.75,6,7,4,1,"Verb"
"57","marshall",8,3.12,0,6,5,2,"Name"
"147","lily",4,3.14,3,13,4,2,"Name"
"252","bright",6,3.36,3,11,4,1,"Adjective"
"344","please",6,4.75,0,9,4,1,"Adverb"
"338","mental",6,3,3,6,5,2,"Adjective"
"326","green",5,3.57,4,15,4,1,"Adjective"
"52","then",4,4.88,7,17,3,1,"Adverb"
"171","awesome",7,3.2,0,1,3,2,"Adjective"
"154","singing",7,3.36,5,7,5,2,"Verb"
"139","catch",5,3.84,6,19,3,1,"Verb"
"250","playing",7,3.88,3,4,5,2,"Verb"
"168","deep",4,3.59,9,19,3,1,"Adjective"
"43","falling",7,3.26,4,12,5,2,"Verb"
"210","keep",4,4.55,9,24,3,1,"Verb"
"249","proper",6,3.11,1,5,5,2,"Adjective"
"150","bad",3,4.44,19,28,3,1,"Adjective"
"277","receive",7,3,1,0,5,2,"Verb"
"269","woke",4,3.13,7,16,3,1,"Verb"
"328","send",4,3.96,10,16,4,1,"Verb"
"339","knocked",7,3.1,1,11,4,1,"Verb"
"275","care",4,4.39,24,27,3,1,"Verb"
"64","mad",3,3.76,17,29,3,1,"Adjective"
"109","carry",5,3.53,7,16,4,2,"Verb"
"136","go",2,5.29,7,28,2,1,"Verb"
"84","feeling",7,3.93,4,15,5,2,"Verb"
"185","make",4,4.85,17,30,3,1,"Verb"
"308","none",4,3.75,13,23,3,1,"Pronoun"
"377","there",5,5.35,3,21,3,1,"Ex"
"161","suffer",6,3.06,3,11,4,2,"Verb"
"182","straight",8,3.8,0,6,5,1,"Adverb"
"235","appears",7,3.03,1,1,5,2,"Verb"
"316","will",4,5.03,16,30,3,1,"Verb"
"21","grace",5,3.33,8,19,4,1,"Name"
"135","works",5,3.73,4,10,4,1,"Verb"
"347","covered",7,3.21,2,4,5,2,"Verb"
"28","quick",5,3.74,3,10,4,1,"Adjective"
"54","writing",7,3.46,2,19,5,2,"Verb"
"294","crane",5,3.23,5,13,4,1,"Name"
"49","shoot",5,3.92,4,16,3,1,"Verb"
"106","release",7,3.27,0,2,5,2,"Verb"
"79","learn",5,3.78,1,18,3,1,"Verb"
"258","changed",7,3.71,5,1,5,1,"Verb"
"266","sue",3,3.18,10,38,2,1,"Verb"
"35","shake",5,3.31,11,24,3,1,"Verb"
"247","suppose",7,3.81,0,0,5,2,"Verb"
"323","waste",5,3.43,5,15,4,1,"Verb"
"230","wide",4,3.08,13,32,3,1,"Adjective"
"66","four",4,4.12,7,32,3,1,"Number"
"298","scared",6,3.83,7,8,5,1,"Adjective"
"203","think",5,5.14,4,12,4,1,"Verb"
"191","bond",4,3.2,9,17,4,1,"Name"
"153","broke",5,3.73,2,9,4,1,"Verb"
"194","third",5,3.58,0,9,3,1,"Number"
"306","hold",4,4.35,11,22,4,1,"Verb"
"189","in",2,5.7,7,14,2,1,"Preposition"
"248","into",4,4.63,3,3,4,2,"Preposition"
"5","they",4,5.32,4,22,2,1,"Pronoun"
"20","gotten",6,3.44,1,2,4,2,"Verb"
"216","fourth",6,3.13,0,9,4,1,"Number"
"218","glad",4,3.94,3,8,4,1,"Adjective"
"228","remove",6,3.04,1,0,5,2,"Verb"
"197","any",3,4.75,4,7,3,2,"Determiner"
"125","fast",4,3.85,11,19,4,1,"Adverb"
"261","hired",5,3.23,7,9,4,1,"Verb"
"242","holy",4,3.54,2,11,4,2,"Adjective"
"181","course",6,4.4,1,14,4,1,"Adverb"
"122","stay",4,4.42,8,8,3,1,"Verb"
"163","brown",5,3.49,7,9,4,1,"Name"
"333","won",3,4.59,11,20,3,1,"Verb"
"225","sold",4,3.42,9,21,4,1,"Verb"
"265","front",5,3.97,2,2,5,1,"Preposition"
"288","threw",5,3.32,3,8,3,1,"Verb"
"58","met",3,3.99,15,28,3,1,"Verb"
"15","kitty",5,3.13,2,10,4,2,"Name"
"166","drew",4,3.11,4,10,3,1,"Name"
"257","asleep",6,3.41,0,0,5,2,"Adjective"
"13","each",4,4.11,2,7,2,1,"Pronoun"
"324","dump",4,3.17,8,10,4,1,"Verb"
"12","merry",5,3.3,6,20,4,2,"Adjective"
"274","back",4,5.01,17,34,3,1,"Adverb"
"268","ray",3,3.7,19,24,2,1,"Name"
"60","meant",5,3.73,1,19,4,1,"Verb"
