"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","pizza",5,3.23,0,0,5,2,"Noun"
"2","purpose",7,3.25,0,1,5,2,"Noun"
"3","chip",4,3.02,8,22,3,1,"Noun"
"4","horse",5,3.68,6,13,4,1,"Noun"
"5","speed",5,3.32,2,7,4,1,"Noun"
"6","news",4,3.92,4,23,3,1,"Noun"
"7","beast",5,3.1,6,15,4,1,"Noun"
"8","ears",4,3.23,10,11,3,1,"Noun"
"9","window",6,3.64,0,0,5,2,"Noun"
"10","snake",5,3.06,5,9,4,1,"Noun"
"11","gang",4,3.19,8,15,3,1,"Noun"
"12","end",3,4.13,1,8,3,1,"Noun"
"13","pleasure",8,3.61,0,0,5,2,"Noun"
"14","lunch",5,3.73,6,7,4,1,"Noun"
"15","trade",5,3.25,2,12,4,1,"Noun"
"16","duck",4,3.1,11,25,3,1,"Noun"
"17","dude",4,3.71,7,29,3,1,"Noun"
"18","side",4,4.01,10,32,3,1,"Noun"
"19","sake",4,3.51,16,28,3,1,"Noun"
"20","feet",4,3.79,8,22,3,1,"Noun"
"21","movies",6,3.37,0,1,5,2,"Noun"
"22","arm",3,3.52,5,4,3,1,"Noun"
"23","chance",6,4.09,2,5,4,1,"Noun"
"24","nerve",5,3.07,3,6,3,1,"Noun"
"25","photos",6,3.01,1,0,5,2,"Noun"
"26","honey",5,4.19,3,12,4,2,"Noun"
"27","future",6,3.72,1,0,5,2,"Noun"
"28","roof",4,3.26,7,16,3,1,"Noun"
"29","silver",6,3.21,0,1,5,2,"Noun"
"30","tree",4,3.52,4,9,3,1,"Noun"
"31","cable",5,3.04,4,7,4,2,"Noun"
"32","nature",6,3.36,1,2,4,2,"Noun"
"33","sky",3,3.36,7,4,3,1,"Noun"
"34","actor",5,3.13,0,3,4,2,"Noun"
"35","hat",3,3.52,20,33,3,1,"Noun"
"36","soldier",7,3.3,0,0,5,2,"Noun"
"37","loser",5,3.14,6,8,4,2,"Noun"
"38","fact",4,3.94,5,11,4,1,"Noun"
"39","hills",5,3.01,8,25,4,1,"Noun"
"40","edge",4,3.08,1,9,2,1,"Noun"
"41","class",5,3.78,8,11,4,1,"Noun"
"42","map",3,3.21,18,25,3,1,"Noun"
"43","grade",5,3.17,8,18,4,1,"Noun"
"44","wife",4,4.25,9,13,3,1,"Noun"
"45","child",5,3.91,3,6,4,1,"Noun"
"46","pair",4,3.28,6,32,3,1,"Noun"
"47","beach",5,3.46,7,21,3,1,"Noun"
"48","amount",6,3.1,0,1,5,2,"Noun"
"49","order",5,3.9,1,1,4,2,"Noun"
"50","songs",5,3.05,4,5,4,1,"Noun"
"51","clock",5,3.48,8,13,4,1,"Noun"
"52","mood",4,3.24,9,25,3,1,"Noun"
"53","face",4,4.17,11,20,3,1,"Noun"
"54","gift",4,3.52,5,8,4,1,"Noun"
"55","range",5,3.07,0,9,4,1,"Noun"
"56","reason",6,3.99,1,5,4,2,"Noun"
"57","balls",5,3.31,10,21,4,1,"Noun"
"58","mountain",8,3.26,1,2,5,2,"Noun"
"59","trunk",5,3,2,1,5,1,"Noun"
"60","signal",6,3.28,0,0,5,2,"Noun"
"61","past",4,3.8,14,20,4,1,"Noun"
"62","dogs",4,3.43,8,6,4,1,"Noun"
"63","mister",6,3.37,5,5,5,2,"Noun"
"64","bath",4,3.2,11,20,3,1,"Noun"
