"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"206","pizza",5,3.23,0,0,5,2,"Noun"
"323","purpose",7,3.25,0,1,5,2,"Noun"
"149","chip",4,3.02,8,22,3,1,"Noun"
"241","horse",5,3.68,6,13,4,1,"Noun"
"236","speed",5,3.32,2,7,4,1,"Noun"
"157","news",4,3.92,4,23,3,1,"Noun"
"220","beast",5,3.1,6,15,4,1,"Noun"
"72","ears",4,3.23,10,11,3,1,"Noun"
"256","window",6,3.64,0,0,5,2,"Noun"
"108","snake",5,3.06,5,9,4,1,"Noun"
"203","gang",4,3.19,8,15,3,1,"Noun"
"6","end",3,4.13,1,8,3,1,"Noun"
"117","pleasure",8,3.61,0,0,5,2,"Noun"
"32","lunch",5,3.73,6,7,4,1,"Noun"
"247","trade",5,3.25,2,12,4,1,"Noun"
"263","duck",4,3.1,11,25,3,1,"Noun"
"159","dude",4,3.71,7,29,3,1,"Noun"
"219","side",4,4.01,10,32,3,1,"Noun"
"38","sake",4,3.51,16,28,3,1,"Noun"
"57","feet",4,3.79,8,22,3,1,"Noun"
"283","movies",6,3.37,0,1,5,2,"Noun"
"74","arm",3,3.52,5,4,3,1,"Noun"
"48","chance",6,4.09,2,5,4,1,"Noun"
"314","nerve",5,3.07,3,6,3,1,"Noun"
"171","photos",6,3.01,1,0,5,2,"Noun"
"93","honey",5,4.19,3,12,4,2,"Noun"
"9","future",6,3.72,1,0,5,2,"Noun"
"223","roof",4,3.26,7,16,3,1,"Noun"
"270","silver",6,3.21,0,1,5,2,"Noun"
"30","tree",4,3.52,4,9,3,1,"Noun"
"286","cable",5,3.04,4,7,4,2,"Noun"
"7","nature",6,3.36,1,2,4,2,"Noun"
"264","sky",3,3.36,7,4,3,1,"Noun"
"290","actor",5,3.13,0,3,4,2,"Noun"
"136","hat",3,3.52,20,33,3,1,"Noun"
"273","soldier",7,3.3,0,0,5,2,"Noun"
"64","loser",5,3.14,6,8,4,2,"Noun"
"132","fact",4,3.94,5,11,4,1,"Noun"
"326","hills",5,3.01,8,25,4,1,"Noun"
"33","edge",4,3.08,1,9,2,1,"Noun"
"198","class",5,3.78,8,11,4,1,"Noun"
"1","map",3,3.21,18,25,3,1,"Noun"
"122","grade",5,3.17,8,18,4,1,"Noun"
"25","wife",4,4.25,9,13,3,1,"Noun"
"216","child",5,3.91,3,6,4,1,"Noun"
"36","pair",4,3.28,6,32,3,1,"Noun"
"287","beach",5,3.46,7,21,3,1,"Noun"
"34","amount",6,3.1,0,1,5,2,"Noun"
"250","order",5,3.9,1,1,4,2,"Noun"
"123","songs",5,3.05,4,5,4,1,"Noun"
"196","clock",5,3.48,8,13,4,1,"Noun"
"11","mood",4,3.24,9,25,3,1,"Noun"
"71","face",4,4.17,11,20,3,1,"Noun"
"8","gift",4,3.52,5,8,4,1,"Noun"
"24","range",5,3.07,0,9,4,1,"Noun"
"88","reason",6,3.99,1,5,4,2,"Noun"
"177","balls",5,3.31,10,21,4,1,"Noun"
"60","mountain",8,3.26,1,2,5,2,"Noun"
"187","trunk",5,3,2,1,5,1,"Noun"
"114","signal",6,3.28,0,0,5,2,"Noun"
"144","past",4,3.8,14,20,4,1,"Noun"
"211","dogs",4,3.43,8,6,4,1,"Noun"
"205","mister",6,3.37,5,5,5,2,"Noun"
"288","bath",4,3.2,11,20,3,1,"Noun"
"307","bank",4,3.64,16,13,4,1,"Noun"
"26","pocket",6,3.26,6,7,5,2,"Noun"
