6.3744 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.1839 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x13290e7f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13352de48>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1840 	EXP 	window1: recordFrameIntervals = False
7.3497 	EXP 	window1: recordFrameIntervals = True
7.5336 	EXP 	window1: recordFrameIntervals = False
8.0590 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
8.1119 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
8.1334 	EXP 	instructions_text: autoDraw = True
8.4951 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
8.4955 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
8.4957 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 2)])
8.5041 	EXP 	Imported csvs/condition_2_wlists_indices.csv as conditions, 8 conditions, 1 params
8.5044 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
8.5047 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 23)])
8.5080 	EXP 	Imported csvs/23.csv as conditions, 6 conditions, 1 params
8.5084 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
8.5086 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'efficient')])
9.5149 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'info')])
10.5181 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'sponsors')])
11.5246 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'shelf')])
12.5308 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'easy')])
13.5358 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'horror')])
14.5554 	DATA 	Keypress: space
14.5582 	DATA 	Keypress: space
14.5598 	DATA 	Keypress: space
14.5726 	EXP 	instructions_text: autoDraw = False
14.5726 	EXP 	show_condition_text: text = 'efficient'
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
14.5726 	EXP 	show_condition_text: autoDraw = True
