7.0262 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.7183 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131c07908>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x133004e48>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7184 	EXP 	window1: recordFrameIntervals = False
7.8845 	EXP 	window1: recordFrameIntervals = True
8.0676 	EXP 	window1: recordFrameIntervals = False
8.5636 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
8.6246 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
8.6511 	EXP 	instructions_text: autoDraw = True
8.6676 	EXP 	instructions_text: autoDraw = True
8.6843 	EXP 	instructions_text: autoDraw = True
8.7011 	EXP 	instructions_text: autoDraw = True
8.7178 	EXP 	instructions_text: autoDraw = True
8.7346 	EXP 	instructions_text: autoDraw = True
8.7513 	EXP 	instructions_text: autoDraw = True
8.7678 	EXP 	instructions_text: autoDraw = True
8.7845 	EXP 	instructions_text: autoDraw = True
8.8015 	EXP 	instructions_text: autoDraw = True
8.8172 	EXP 	instructions_text: autoDraw = True
8.8338 	EXP 	instructions_text: autoDraw = True
8.8511 	EXP 	instructions_text: autoDraw = True
8.8672 	EXP 	instructions_text: autoDraw = True
8.8839 	EXP 	instructions_text: autoDraw = True
8.9005 	EXP 	instructions_text: autoDraw = True
8.9172 	EXP 	instructions_text: autoDraw = True
8.9337 	EXP 	instructions_text: autoDraw = True
8.9512 	EXP 	instructions_text: autoDraw = True
8.9679 	EXP 	instructions_text: autoDraw = True
8.9845 	EXP 	instructions_text: autoDraw = True
9.0013 	EXP 	instructions_text: autoDraw = True
9.0178 	EXP 	instructions_text: autoDraw = True
9.0349 	EXP 	instructions_text: autoDraw = True
9.0515 	EXP 	instructions_text: autoDraw = True
9.0670 	EXP 	instructions_text: autoDraw = True
9.0838 	EXP 	instructions_text: autoDraw = True
9.1014 	EXP 	instructions_text: autoDraw = True
